Prefix,Archivo,Resumen
C0747d,C0747d_N1_mask.bmp,"N1 (9 regs): A=[12351   3577   1757   1549   1078    322    211     36     16] C=[0.27 0.28 0.25 0.46 0.80 0.59 1.07 1.17 1.38]"
C0747d,C0747d_N2_mask.bmp,"N2 (7 regs): A=[10631   2954   1299    644    473    372     28] C=[0.65 0.27 0.49 0.87 0.75 0.50 1.17]"
C0747d,C0747d_N3_mask.bmp,"N3 (6 regs): A=[10053   2394   1228    482    202     18] C=[0.52 0.37 0.27 0.86 0.60 0.97]"
C0747d,C0747d_N4_mask.bmp,"N4 (8 regs): A=[6002  2030   732   570   411   220   130    12] C=[0.84 0.42 0.99 0.50 0.85 0.74 0.74 1.72]"
C0747d,C0747d_N5_mask.bmp,"N5 (4 regs): A=[7045  2457   773   282] C=[0.65 0.57 0.83 0.54]"
C0747d,C0747d_N6_mask.bmp,"N6 (4 regs): A=[6682  3840   442   319] C=[0.89 0.69 0.35 0.78]"
C0747d,C0747d_N7_mask.bmp,"N7 (4 regs): A=[4532  2703  1492   658] C=[0.83 0.74 0.47 0.41]"
C0747i,C0747i_N1_mask.bmp,"N1 (14 regs): A=[22866   1285    885    292    180    114     96     65     54     28     24     20     13     10] C=[0.53 0.37 0.29 0.75 0.65 0.81 1.06 1.15 1.21 1.31 0.90 1.40 1.57 1.30]"
C0747i,C0747i_N2_mask.bmp,"N2 (8 regs): A=[19866    686    250    221    140     27     22     19] C=[0.52 0.62 0.75 0.71 0.71 1.28 1.00 1.33]"
C0747i,C0747i_N3_mask.bmp,"N3 (6 regs): A=[17759    529    176     91     71     17] C=[0.79 0.78 0.97 0.93 0.58 1.30]"
C0747i,C0747i_N4_mask.bmp,"N4 (4 regs): A=[15968    418    105     88] C=[0.80 0.84 0.28 1.10]"
C0747i,C0747i_N5_mask.bmp,"N5 (4 regs): A=[14220    404    366     33] C=[0.50 0.48 0.89 0.81]"
C0747i,C0747i_N6_mask.bmp,"N6 (4 regs): A=[13378   2153    187     42] C=[0.49 0.29 0.54 1.17]"
C0747i,C0747i_N7_mask.bmp,"N7 (8 regs): A=[8813  3593  1803   385   179   149    18    15] C=[0.82 0.41 0.88 0.27 0.75 1.04 1.42 1.47]"
C0753d,C0753d_N1_mask.bmp,"N1 (12 regs): A=[3994  1848   639   513   160    90    81    58    57    55    52    13] C=[0.91 0.43 0.27 0.70 1.04 1.02 0.87 0.99 1.25 1.14 1.25 1.48]"
C0753d,C0753d_N2_mask.bmp,"N2 (4 regs): A=[3373  1269   299   271] C=[0.92 0.62 0.64 0.50]"
C0753d,C0753d_N3_mask.bmp,"N3 (4 regs): A=[2281  1140   179   141] C=[0.91 0.51 0.50 0.94]"
C0753d,C0753d_N4_mask.bmp,"N4 (4 regs): A=[1143   755    36    18] C=[0.45 1.04 1.09 1.23]"
C0753d,C0753d_N5_mask.bmp,"N5 (2 regs): A=[1303    12] C=[0.73 1.50]"
C0753d,C0753d_N6_mask.bmp,"N6 (2 regs): A=[1680    50] C=[0.95 0.99]"
C0753d,C0753d_N7_mask.bmp,"N7 (2 regs): A=[1181   305] C=[0.88 0.97]"
C0753i,C0753i_N1_mask.bmp,"N1 (6 regs): A=[10148    666    461    367    156     26] C=[0.19 0.61 0.63 0.65 0.83 1.30]"
C0753i,C0753i_N2_mask.bmp,"N2 (6 regs): A=[5572  1750   309   140    82    23] C=[0.73 0.33 0.82 0.91 1.09 1.22]"
C0753i,C0753i_N3_mask.bmp,"N3 (4 regs): A=[4157  1437    19    19] C=[0.77 0.38 1.03 1.00]"
C0753i,C0753i_N4_mask.bmp,"N4 (3 regs): A=[2484  1055    72] C=[0.69 0.39 0.95]"
C0753i,C0753i_N5_mask.bmp,"N5 (3 regs): A=[1137   181    19] C=[0.56 0.61 1.28]"
C0753i,C0753i_N6_mask.bmp,"N6 (3 regs): A=[771  571   48] C=[0.62 0.76 1.14]"
C0753i,C0753i_N7_mask.bmp,"N7 (1 regs): A=[1299] C=[0.36]"
C0793d,C0793d_N1_mask.bmp,"N1 (9 regs): A=[9109  8582  3861  1121  1085   636    86    62    12] C=[0.28 0.41 0.42 0.60 0.34 0.81 0.93 1.00 0.58]"
C0793d,C0793d_N2_mask.bmp,"N2 (9 regs): A=[8243  7014  2723   575   415   373   111    39    38] C=[0.28 0.63 0.49 0.56 0.97 0.80 0.40 0.64 1.15]"
C0793d,C0793d_N3_mask.bmp,"N3 (10 regs): A=[5961  5837  2569  2042   216   215   159    77    50    19] C=[0.93 0.62 0.50 0.22 0.81 0.72 1.07 0.60 0.75 0.60]"
C0793d,C0793d_N4_mask.bmp,"N4 (9 regs): A=[5946  4263  2611  1082   549   313   181    45    27] C=[0.68 0.95 0.57 0.59 0.30 0.28 0.88 0.99 1.28]"
C0793d,C0793d_N5_mask.bmp,"N5 (7 regs): A=[8477  6818   532   262    77    76    14] C=[0.28 0.56 0.37 0.90 1.14 0.97 1.20]"
C0793d,C0793d_N6_mask.bmp,"N6 (3 regs): A=[8461  8423    49] C=[0.53 0.36 1.04]"
C0793d,C0793d_N7_mask.bmp,"N7 (4 regs): A=[8192  7749    92    18] C=[0.56 0.24 0.88 1.55]"
C0793i,C0793i_N1_mask.bmp,"N1 (8 regs): A=[7562  6986  6070  4130   337   164    26    22] C=[0.33 0.77 0.51 0.22 1.01 1.07 0.97 1.41]"
C0793i,C0793i_N2_mask.bmp,"N2 (5 regs): A=[6804  5861  4772  3905    83] C=[0.34 0.85 0.60 0.23 1.13]"
C0793i,C0793i_N3_mask.bmp,"N3 (6 regs): A=[6739  4884  4611  3964    58    14] C=[0.37 0.90 0.65 0.26 1.11 0.89]"
C0793i,C0793i_N4_mask.bmp,"N4 (10 regs): A=[6279  5165  3934  2766   601   275   106    94    83    25] C=[0.68 0.62 0.27 0.85 0.63 0.96 0.40 0.72 0.90 0.20]"
C0793i,C0793i_N5_mask.bmp,"N5 (7 regs): A=[6632  6265  4555   747   365   263   254] C=[0.82 0.73 0.22 0.23 0.70 0.50 0.73]"
C0793i,C0793i_N6_mask.bmp,"N6 (2 regs): A=[19994     19] C=[0.14 1.61]"
C0793i,C0793i_N7_mask.bmp,"N7 (3 regs): A=[11057   7684     23] C=[0.30 0.23 1.34]"
C0804d,C0804d_N1_mask.bmp,"N1 (9 regs): A=[4171  1691  1186   492   192    91    64    19    16] C=[0.51 0.96 0.44 0.80 1.05 1.20 0.48 1.41 1.38]"
C0804d,C0804d_N2_mask.bmp,"N2 (4 regs): A=[3190  1243   866   261] C=[0.51 1.00 0.42 0.85]"
C0804d,C0804d_N3_mask.bmp,"N3 (4 regs): A=[2644   511   428    61] C=[0.60 0.38 1.07 0.90]"
C0804d,C0804d_N4_mask.bmp,"N4 (3 regs): A=[1968   109    26] C=[0.69 0.70 1.24]"
C0804d,C0804d_N5_mask.bmp,"N5 (2 regs): A=[756  141] C=[0.75 0.66]"
C0804d,C0804d_N6_mask.bmp,"N6 (1 regs): A=[128] C=[0.79]"
C0804d,C0804d_N7_mask.bmp,"N7 (0 regs): A=[] C=[]"
C0804i,C0804i_N1_mask.bmp,"N1 (13 regs): A=[2451  1250   375   320   228   215   188   121    98    88    80    46    43] C=[0.98 0.79 0.80 0.98 0.43 0.98 1.03 0.37 1.18 1.19 1.01 0.70 1.20]"
C0804i,C0804i_N2_mask.bmp,"N2 (4 regs): A=[2086  1058   212    97] C=[0.99 0.82 0.75 1.08]"
C0804i,C0804i_N3_mask.bmp,"N3 (3 regs): A=[1328  1042    44] C=[1.03 0.82 1.05]"
C0804i,C0804i_N4_mask.bmp,"N4 (1 regs): A=[999] C=[0.85]"
C0804i,C0804i_N5_mask.bmp,"N5 (2 regs): A=[512   20] C=[0.92 1.42]"
C0804i,C0804i_N6_mask.bmp,"N6 (1 regs): A=[266] C=[0.89]"
C0804i,C0804i_N7_mask.bmp,"N7 (1 regs): A=[58] C=[1.22]"
C0806d,C0806d_N1_mask.bmp,"N1 (7 regs): A=[5947  3253  2581   191    56    55    43] C=[0.23 0.83 0.46 0.77 1.17 0.42 1.19]"
C0806d,C0806d_N2_mask.bmp,"N2 (4 regs): A=[4685  2514   854   272] C=[0.42 0.96 0.88 0.74]"
C0806d,C0806d_N3_mask.bmp,"N3 (4 regs): A=[4430  1516   228    99] C=[0.48 1.03 0.93 0.95]"
C0806d,C0806d_N4_mask.bmp,"N4 (3 regs): A=[4036    26    23] C=[0.46 1.30 1.02]"
C0806d,C0806d_N5_mask.bmp,"N5 (2 regs): A=[3383    15] C=[0.66 1.31]"
C0806d,C0806d_N6_mask.bmp,"N6 (3 regs): A=[2786    34    14] C=[0.79 0.87 1.33]"
C0806d,C0806d_N7_mask.bmp,"N7 (1 regs): A=[1998] C=[0.87]"
C0806i,C0806i_N1_mask.bmp,"N1 (8 regs): A=[4725  2659  2575   843   749   197    62    36] C=[0.78 0.45 0.22 0.65 0.62 0.66 1.21 1.29]"
C0806i,C0806i_N2_mask.bmp,"N2 (6 regs): A=[3735  1780  1361   344   301   283] C=[0.97 0.51 0.32 0.65 0.90 0.53]"
C0806i,C0806i_N3_mask.bmp,"N3 (6 regs): A=[2843  1229   761    61    53    17] C=[0.98 0.43 0.48 0.53 0.86 0.84]"
C0806i,C0806i_N4_mask.bmp,"N4 (5 regs): A=[1409   798   568    69    34] C=[1.02 0.45 0.66 0.77 1.27]"
C0806i,C0806i_N5_mask.bmp,"N5 (4 regs): A=[564  476  141   11] C=[0.50 0.56 0.71 0.92]"
C0806i,C0806i_N6_mask.bmp,"N6 (5 regs): A=[688  510  461   75   33] C=[0.66 0.73 0.64 1.18 1.28]"
C0806i,C0806i_N7_mask.bmp,"N7 (2 regs): A=[1350  1108] C=[0.44 0.50]"
C0807d,C0807d_N1_mask.bmp,"N1 (3 regs): A=[1102  1033   161] C=[0.53 0.57 1.02]"
C0807d,C0807d_N2_mask.bmp,"N2 (1 regs): A=[633] C=[0.86]"
C0807d,C0807d_N3_mask.bmp,"N3 (1 regs): A=[381] C=[0.91]"
C0807d,C0807d_N4_mask.bmp,"N4 (0 regs): A=[] C=[]"
C0807d,C0807d_N5_mask.bmp,"N5 (0 regs): A=[] C=[]"
C0807d,C0807d_N6_mask.bmp,"N6 (0 regs): A=[] C=[]"
C0807d,C0807d_N7_mask.bmp,"N7 (0 regs): A=[] C=[]"
C0807i,C0807i_N1_mask.bmp,"N1 (3 regs): A=[2718   124    87] C=[0.82 1.10 1.12]"
C0807i,C0807i_N2_mask.bmp,"N2 (1 regs): A=[2014] C=[0.92]"
C0807i,C0807i_N3_mask.bmp,"N3 (1 regs): A=[1167] C=[0.99]"
C0807i,C0807i_N4_mask.bmp,"N4 (1 regs): A=[350] C=[1.06]"
C0807i,C0807i_N5_mask.bmp,"N5 (0 regs): A=[] C=[]"
C0807i,C0807i_N6_mask.bmp,"N6 (0 regs): A=[] C=[]"
C0807i,C0807i_N7_mask.bmp,"N7 (0 regs): A=[] C=[]"
C0808d,C0808d_N1_mask.bmp,"N1 (9 regs): A=[8008  4116  1270   586   227   179    80    66    29] C=[0.93 0.32 0.42 0.44 0.77 0.40 0.97 0.47 0.88]"
C0808d,C0808d_N2_mask.bmp,"N2 (7 regs): A=[7170  3327   588    85    60    56    22] C=[0.98 0.37 0.84 0.93 0.90 0.58 0.62]"
C0808d,C0808d_N3_mask.bmp,"N3 (6 regs): A=[6380  2896   366   203    93    65] C=[0.99 0.60 0.76 0.60 0.66 0.63]"
C0808d,C0808d_N4_mask.bmp,"N4 (8 regs): A=[5085  2822   572   189   188   128    32    17] C=[0.96 0.72 0.38 0.76 0.94 0.67 0.85 1.34]"
C0808d,C0808d_N5_mask.bmp,"N5 (4 regs): A=[4979  2386  1482   316] C=[0.27 0.94 0.54 0.49]"
C0808d,C0808d_N6_mask.bmp,"N6 (3 regs): A=[6283  2323    39] C=[0.40 0.51 1.08]"
C0808d,C0808d_N7_mask.bmp,"N7 (3 regs): A=[3893  2949    20] C=[0.47 0.46 0.98]"
C0808i,C0808i_N1_mask.bmp,"N1 (8 regs): A=[5592  5480  2867  1173   356   217   119    33] C=[0.21 0.63 0.17 0.58 0.40 0.49 1.09 1.38]"
C0808i,C0808i_N2_mask.bmp,"N2 (6 regs): A=[5237  4052  1888   477    39    12] C=[0.22 0.95 0.30 0.56 0.57 1.16]"
C0808i,C0808i_N3_mask.bmp,"N3 (4 regs): A=[5328  2868  1616   309] C=[0.19 0.94 0.29 0.56]"
C0808i,C0808i_N4_mask.bmp,"N4 (3 regs): A=[5726  1251    94] C=[0.19 0.27 0.85]"
C0808i,C0808i_N5_mask.bmp,"N5 (3 regs): A=[6643   671    82] C=[0.27 0.30 0.81]"
C0808i,C0808i_N6_mask.bmp,"N6 (1 regs): A=[7800] C=[0.25]"
C0808i,C0808i_N7_mask.bmp,"N7 (1 regs): A=[8153] C=[0.35]"
